Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyTextPresent(""Kolom ini wajib diisi"", false)",Chrome 120.0.0.0,"Verify the message error ""Kolom ini wajib diisi""",,2023-12-13 17:43:39,2023-12-13 17:43:39,0.326s,PASSED
closeBrowser(),Chrome 120.0.0.0,Close the browser,,2023-12-13 17:43:39,2023-12-13 17:43:40,0.142s,PASSED
,,,,,,,
Test Cases/Login/Login_with_invalid_format_email_1,Chrome 120.0.0.0,,,2023-12-13 17:43:40,2023-12-13 17:43:49,9.577s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,Open the browser,,2023-12-13 17:43:40,2023-12-13 17:43:40,0.640s,PASSED
maximizeWindow(),Chrome 120.0.0.0,Maximize the window,,2023-12-13 17:43:40,2023-12-13 17:43:40,0.134s,PASSED
navigateToUrl(baseUrl),Chrome 120.0.0.0,Navigate to url H&M,,2023-12-13 17:43:40,2023-12-13 17:43:43,2.631s,PASSED
"click(findTestObject(""menu_pages/btnMenu_masuk_akun""))",Chrome 120.0.0.0,Click button menu (Masuk Akun),,2023-12-13 17:43:43,2023-12-13 17:43:46,2.889s,PASSED
"setText(findTestObject(""login_repos/input_loginUsername""), email_without_dot)",Chrome 120.0.0.0,Input invalid format email (1),,2023-12-13 17:43:46,2023-12-13 17:43:47,1.488s,PASSED
"setText(findTestObject(""login_repos/input_loginPassword""), correct_password)",Chrome 120.0.0.0,Input correct password,,2023-12-13 17:43:47,2023-12-13 17:43:48,0.709s,PASSED
"click(findTestObject(""login_repos/button_login""))",Chrome 120.0.0.0,Click button login,,2023-12-13 17:43:48,2023-12-13 17:43:48,0.373s,PASSED
"verifyTextPresent(""Masukkan alamat email yang benar"", false)",Chrome 120.0.0.0,"Verify the message error ""Masukkan alamat email yang benar""",,2023-12-13 17:43:48,2023-12-13 17:43:49,0.546s,PASSED
closeBrowser(),Chrome 120.0.0.0,Close the browser,,2023-12-13 17:43:49,2023-12-13 17:43:49,0.124s,PASSED
,,,,,,,
Test Cases/Login/Login_with_invalid_format_email_2,Chrome 120.0.0.0,,,2023-12-13 17:43:49,2023-12-13 17:43:59,10.132s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,Open the browser,,2023-12-13 17:43:49,2023-12-13 17:43:50,0.611s,PASSED
maximizeWindow(),Chrome 120.0.0.0,Maximize the window,,2023-12-13 17:43:50,2023-12-13 17:43:50,0.140s,PASSED
navigateToUrl(baseUrl),Chrome 120.0.0.0,Navigate to url H&M,,2023-12-13 17:43:50,2023-12-13 17:43:53,2.691s,PASSED
"click(findTestObject(""menu_pages/btnMenu_masuk_akun""))",Chrome 120.0.0.0,Click button menu (Masuk Akun),,2023-12-13 17:43:53,2023-12-13 17:43:56,3.578s,PASSED
"setText(findTestObject(""login_repos/input_loginUsername""), email_without_at)",Chrome 120.0.0.0,Input invalid format email (2),,2023-12-13 17:43:56,2023-12-13 17:43:58,1.276s,PASSED
"setText(findTestObject(""login_repos/input_loginPassword""), correct_password)",Chrome 120.0.0.0,Input correct password,,2023-12-13 17:43:58,2023-12-13 17:43:58,0.728s,PASSED
"click(findTestObject(""login_repos/button_login""))",Chrome 120.0.0.0,Click button login,,2023-12-13 17:43:58,2023-12-13 17:43:59,0.364s,PASSED
"verifyTextPresent(""Masukkan alamat email yang benar"", false)",Chrome 120.0.0.0,"Verify the message error ""Masukkan alamat email yang benar""",,2023-12-13 17:43:59,2023-12-13 17:43:59,0.538s,PASSED
closeBrowser(),Chrome 120.0.0.0,Close the browser,,2023-12-13 17:43:59,2023-12-13 17:43:59,0.151s,PASSED
,,,,,,,
Test Cases/Login/Login_with_valid_data,Chrome 120.0.0.0,,,2023-12-13 17:43:59,2023-12-13 17:44:15,15.665s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,Open the browser,,2023-12-13 17:43:59,2023-12-13 17:44:00,0.649s,PASSED
maximizeWindow(),Chrome 120.0.0.0,Maximize the window,,2023-12-13 17:44:00,2023-12-13 17:44:00,0.121s,PASSED
navigateToUrl(baseUrl),Chrome 120.0.0.0,Navigate to url H&M,,2023-12-13 17:44:00,2023-12-13 17:44:02,1.980s,PASSED
"click(findTestObject(""menu_pages/btnMenu_masuk_akun""))",Chrome 120.0.0.0,Click button menu (Masuk Akun),,2023-12-13 17:44:02,2023-12-13 17:44:05,2.769s,PASSED
"setText(findTestObject(""login_repos/input_loginUsername""), correct_email)",Chrome 120.0.0.0,Input correct email,,2023-12-13 17:44:05,2023-12-13 17:44:06,1.437s,PASSED
"setText(findTestObject(""login_repos/input_loginPassword""), correct_password)",Chrome 120.0.0.0,Input correct password,,2023-12-13 17:44:06,2023-12-13 17:44:07,0.699s,PASSED
"click(findTestObject(""login_repos/button_login""))",Chrome 120.0.0.0,Click button login,,2023-12-13 17:44:07,2023-12-13 17:44:11,3.974s,PASSED
"verifyTextPresent(""Data Pribadi"", false)",Chrome 120.0.0.0,"Verify the message when successfully logged in ""Data Pribadi""",,2023-12-13 17:44:11,2023-12-13 17:44:15,3.818s,PASSED
closeBrowser(),Chrome 120.0.0.0,Close the browser,,2023-12-13 17:44:15,2023-12-13 17:44:15,0.157s,PASSED
